          id  timestamp  track  channel  event  note  midi_value  sustain
445    35249          0      0        1     87    80         445        0
446    35473          0      0        0     80     0         446        0
447    35473          1      0        0     61     0         447        0
448    35473          1      0        0     64     0         448        0
449    35486          0      0        0     87     0         449        0
450    35499          0      0        1     80    80         450        0
451    35499          0      0        1     88    80         451        0
452    35499          1      0        1     68    68         452        0
453    35499          1      0        1     73    68         453        0
454    35736          0      0        0     88     0         454        0
455    35749          0      0        1     90    80         455        0
456    35973          0      0        0     80     0         456        0
457    35973          1      0        0     68     0         457        0
458    35973          1      0        0     73     0         458        0
459    35986          0      0        0     90     0         459        0
460    35999          0      0        1     80    80         460        0
461    35999          0      0        1     92    80         461        0
462    35999          1      0        1     56    68         462        0
463    36001          1      0        3     64     0         463        0
464    36002          1      0        3     64   127         464        0
465    36473          0      0        0     92     0         465        0
466    36473          0      0        0     80     0         466        0
467    36473          1      0        0     56     0         467        0
468    36499          0      0        1     80    80         468        0
469    36499          1      0        1     63    68         469        0
470    36499          1      0        1     68    68         470        0
471    36736          0      0        0     80     0         471        0
472    36749          0      0        1     81    80         472        0
473    36973          1      0        0     63     0         473        0
474    36973          1      0        0     68     0         474        0
475    36986          0      0        0     81     0         475        0
476    36999          0      0        1     80    80         476        0
477    36999          1      0        1     68    68         477        0
478    36999          1      0        1     71    68         478        0
479    37236          0      0        0     80     0         479        0
480    37249          0      0        1     78    80         480        0
481    37473          1      0        0     68     0         481        0
482    37473          1      0        0     71     0         482        0
483    37486          0      0        0     78     0         483        0
484    37499          0      0        1     76    80         484        0
485    37499          1      0        1     57    68         485        0
486    37501          1      0        3     64     0         486        0
487    37502          1      0        3     64   127         487        0
488    37973          0      0        0     76     0         488        0
489    37973          1      0        0     57     0         489        0
490    37999          0      0        1     76    80         490        0
491    37999          1      0        1     64    68         491        0
492    37999          1      0        1     69    68         492        0
493    38473          0      0        0     76     0         493        0
494    38473          1      0        0     64     0         494        0
495    38473          1      0        0     69     0         495        0
496    38499          0      0        1     76    80         496        0
497    38499          1      0        1     69    68         497        0
498    38499          1      0        1     73    68         498        0
499    38736          0      0        0     76     0         499        0
500    38749          0      0        1     75    80         500        0
501    38973          1      0        0     69     0         501        0
502    38973          1      0        0     73     0         502        0
503    38986          0      0        0     75     0         503        0
504    38999          0      0        1     73    80         504        0
505    38999          1      0        1     56    68         505        0
506    39001          1      0        3     64     0         506        0
507    39002          1      0        3     64   127         507        0
508    39473          0      0        0     73     0         508        0
509    39473          1      0        0     56     0         509        0
510    39499          0      0        1     75    80         510        0
511    39499          1      0        1     64    68         511        0
512    39499          1      0        1     68    68         512        0
513    39973          0      0        0     75     0         513        0
514    39973          1      0        0     64     0         514        0
515    39973          1      0        0     68     0         515        0
516    39999          0      0        1     75    80         516        0
517    39999          1      0        1     68    68         517        0
518    39999          1      0        1     71    68         518        0
519    40236          0      0        0     75     0         519        0
520    40249          0      0        1     76    80         520        0
521    40473          1      0        0     68     0         521        0
522    40473          1      0        0     71     0         522        0
523    40486          0      0        0     76     0         523        0
524    40499          0      0        1     78    80         524        0
525    40499          1      0        1     54    68         525        0
526    40501          1      0        3     64     0         526        0
527    40502          1      0        3     64   127         527        0
528    40973          0      0        0     78     0         528        0
529    40973          1      0        0     54     0         529        0
530    40999          0      0        1     78    80         530        0
531    40999          1      0        1     66    68         531        0
532    40999          1      0        1     69    68         532        0
533    41236          0      0        0     78     0         533        0
534    41249          0      0        1     80    80         534        0
535    41473          1      0        0     66     0         535        0
536    41473          1      0        0     69     0         536        0
537    41486          0      0        0     80     0         537        0
538    41499          0      0        1     78    80         538        0
539    41499          1      0        1     69    68         539        0
540    41499          1      0        1     73    68         540        0
541    41736          0      0        0     78     0         541        0
542    41749          0      0        1     80    80         542        0
543    41973          1      0        0     69     0         543        0
544    41973          1      0        0     73     0         544        0
545    41986          0      0        0     80     0         545        0
546    41999          0      0        1     78    80         546        0
547    41999          1      0        1     59    68         547        0
548    42001          1      0        3     64     0         548        0
549    42002          1      0        3     64   127         549        0
550    42473          1      0        0     59     0         550        0
551    42499          1      0        1     63    68         551        0
552    42499          1      0        1     66    68         552        0
553    42948          0      0        0     78     0         553        0
554    42973          1      0        0     63     0         554        0
555    42973          1      0        0     66     0         555        0
556    42999          0      0        1     80    80         556        0
557    42999          1      0        1     66    68         557        0
558    42999          1      0        1     71    68         558        0
