      timestamp  track  channel  event  note  midi_percentage    id  sustain
460       35999      0        0      1    80               68   460        1
461       35999      0        0      1    92               68   461        1
462       35999      1        0      1    56               40   462        1
463       36001      1        0      3    64                0   463        0
464       36002      1        0      3    64              127   464        0
465       36473      0        0      0    92                0   465        1
466       36473      0        0      0    80                0   466        1
467       36473      1        0      0    56                0   467        1
468       36499      0        0      1    80               68   468        1
469       36499      1        0      1    63               40   469        1
470       36499      1        0      1    68               40   470        1
471       36736      0        0      0    80                0   471        1
472       36749      0        0      1    81               68   472        1
473       36973      1        0      0    63                0   473        1
474       36973      1        0      0    68                0   474        1
475       36986      0        0      0    81                0   475        1
476       36999      0        0      1    80               68   476        1
477       36999      1        0      1    68               40   477        1
478       36999      1        0      1    71               40   478        1
479       37236      0        0      0    80                0   479        1
480       37249      0        0      1    78               68   480        1
481       37473      1        0      0    68                0   481        1
482       37473      1        0      0    71                0   482        1
483       37486      0        0      0    78                0   483        1
484       37499      0        0      1    76               68   484        1
485       37499      1        0      1    57               40   485        1
486       37501      1        0      3    64                0   486        0
487       37502      1        0      3    64              127   487        0
488       37973      0        0      0    76                0   488        1
489       37973      1        0      0    57                0   489        1
490       37999      0        0      1    76               68   490        1
491       37999      1        0      1    64               40   491        1
492       37999      1        0      1    69               40   492        1
493       38473      0        0      0    76                0   493        1
494       38473      1        0      0    64                0   494        1
495       38473      1        0      0    69                0   495        1
496       38499      0        0      1    76               68   496        1
497       38499      1        0      1    69               40   497        1
498       38499      1        0      1    73               40   498        1
499       38736      0        0      0    76                0   499        1
500       38749      0        0      1    75               68   500        1
501       38973      1        0      0    69                0   501        1
502       38973      1        0      0    73                0   502        1
503       38986      0        0      0    75                0   503        1
504       38999      0        0      1    73               68   504        1
505       38999      1        0      1    56               40   505        1
506       39001      1        0      3    64                0   506        0
507       39002      1        0      3    64              127   507        0
508       39473      0        0      0    73                0   508        1
509       39473      1        0      0    56                0   509        1
510       39499      0        0      1    75               68   510        1
511       39499      1        0      1    64               40   511        1
512       39499      1        0      1    68               40   512        1
513       39973      0        0      0    75                0   513        1
514       39973      1        0      0    64                0   514        1
515       39973      1        0      0    68                0   515        1
516       39999      0        0      1    75               68   516        1
517       39999      1        0      1    68               40   517        1
518       39999      1        0      1    71               40   518        1
519       40236      0        0      0    75                0   519        1
520       40249      0        0      1    76               68   520        1
521       40473      1        0      0    68                0   521        1
522       40473      1        0      0    71                0   522        1
523       40486      0        0      0    76                0   523        1
524       40499      0        0      1    78               68   524        1
525       40499      1        0      1    54               40   525        1
526       40501      1        0      3    64                0   526        0
527       40502      1        0      3    64              127   527        0
528       40973      0        0      0    78                0   528        1
529       40973      1        0      0    54                0   529        1
530       40999      0        0      1    78               68   530        1
531       40999      1        0      1    66               40   531        1
532       40999      1        0      1    69               40   532        1
533       41236      0        0      0    78                0   533        1
534       41249      0        0      1    80               68   534        1
535       41473      1        0      0    66                0   535        1
536       41473      1        0      0    69                0   536        1
537       41486      0        0      0    80                0   537        1
538       41499      0        0      1    78               68   538        1
539       41499      1        0      1    69               40   539        1
540       41499      1        0      1    73               40   540        1
541       41736      0        0      0    78                0   541        1
542       41749      0        0      1    80               68   542        1
543       41973      1        0      0    69                0   543        1
544       41973      1        0      0    73                0   544        1
545       41986      0        0      0    80                0   545        1
546       41999      0        0      1    78               68   546        1
547       41999      1        0      1    59               40   547        1
548       42001      1        0      3    64                0   548        0
549       42002      1        0      3    64              127   549        0
550       42473      1        0      0    59                0   550        1
551       42499      1        0      1    63               40   551        1
552       42499      1        0      1    66               40   552        1
553       42948      0        0      0    78                0   553        1
554       42973      1        0      0    63                0   554        1
555       42973      1        0      0    66                0   555        1
