timestamp,track,channel,event,note,midi_value
91360,2,0,1,56,53
91605,2,0,0,56,64
91605,1,0,0,87,64
91632,2,0,1,49,53
91632,1,0,1,85,56
91878,2,0,0,49,64
91878,1,0,0,85,64
91905,1,0,1,94,56
91905,1,0,1,82,56
91905,2,0,1,42,53
92150,1,0,0,94,64
92150,1,0,0,82,64
92151,2,0,0,42,64
92178,1,0,1,92,56
92178,1,0,1,80,80
92178,2,0,1,49,53
92423,1,0,0,80,64
92423,1,0,0,92,64
92423,2,0,0,49,64
92451,2,0,1,54,53
92696,2,0,0,54,64
92723,2,0,1,49,53
92723,1,0,1,61,69
92846,1,0,0,61,64
92859,1,0,1,63,69
92969,2,0,0,49,64
92982,1,0,0,63,64
92996,2,0,1,37,53
92996,1,0,1,65,69
93241,1,0,0,65,64
93265,2,0,0,37,64
93269,2,0,1,44,53
93269,1,0,1,63,69
93514,1,0,0,63,64
93535,2,0,0,44,64
93541,2,0,1,49,53
93541,1,0,1,61,69
93787,1,0,0,61,64
93811,2,0,0,49,64
93814,1,0,1,60,59
93814,1,0,1,68,59
93814,2,0,1,41,53
94080,2,0,0,41,64
94087,2,0,1,49,53
94332,1,0,0,60,64
94332,1,0,0,68,64
94353,2,0,0,49,64
94359,1,0,1,61,69
94360,2,0,1,53,80
94796,2,0,0,53,64
94850,1,0,0,61,64
94905,2,0,1,42,53
94905,1,0,1,61,69
95150,1,0,0,61,64
95423,2,0,0,42,64
95450,1,0,1,85,55
95451,2,0,1,49,53
95688,1,0,0,85,0
95689,1,0,1,85,55
95696,1,0,0,85,64
95696,2,0,0,49,64
95723,1,0,1,87,55
95723,2,0,1,56,53
95969,1,0,0,87,64
95969,2,0,0,56,64
95996,1,0,1,85,55
95996,2,0,1,49,53
96241,1,0,0,85,64
96241,2,0,0,49,64
96269,1,0,1,82,55
96269,2,0,1,42,53
96269,1,0,1,94,55
96514,1,0,0,94,64
96514,2,0,0,42,64
96514,1,0,0,82,64
96541,1,0,1,80,80
96541,2,0,1,49,53
96541,1,0,1,92,55
96787,1,0,0,92,64
96787,2,0,0,49,64
96787,1,0,0,80,64
96814,2,0,1,54,53
97060,2,0,0,54,64
97087,1,0,1,61,69
97087,2,0,1,49,53
97209,1,0,0,61,64
97223,1,0,1,63,69
97332,2,0,0,49,64
97346,1,0,0,63,64
97359,1,0,1,65,69
97360,2,0,1,37,53
97605,1,0,0,65,64
97629,2,0,0,37,64
97632,1,0,1,63,69
97632,2,0,1,44,53
97878,1,0,0,63,64
97898,2,0,0,44,64
97905,1,0,1,61,69
97905,2,0,1,49,53
98150,1,0,0,61,64
98174,2,0,0,49,64
98178,1,0,1,68,59
98178,2,0,1,41,53
98178,1,0,1,60,59
98444,2,0,0,41,64
98451,2,0,1,48,80
98696,1,0,0,68,64
98696,1,0,0,60,64
98722,2,0,0,48,64
98723,1,0,1,61,69
98723,2,0,1,53,80
99160,2,0,0,53,64
99214,1,0,0,61,64
99269,2,0,1,42,80
99269,2,0,1,49,80
99269,1,0,1,61,69
99787,2,0,0,42,64
99787,2,0,0,49,64
99814,2,0,1,49,53
100060,2,0,0,49,64
100087,2,0,1,56,53
100332,2,0,0,56,64
100360,2,0,1,49,53
100523,1,0,0,61,64
100605,2,0,0,49,64
100632,2,0,1,56,58
100878,2,0,0,56,64
100905,2,0,1,49,55
101151,2,0,0,49,64
101178,2,0,1,56,80
101423,2,0,0,56,64
101450,1,0,1,73,67
101451,2,0,1,49,80
101573,1,0,0,73,64
101587,1,0,1,75,67
101696,2,0,0,49,64
101709,1,0,0,75,64
101723,1,0,1,68,67
101723,2,0,1,37,63
101723,1,0,1,77,67
101969,1,0,0,77,64
101969,2,0,0,37,64
101969,1,0,0,68,64
101996,1,0,1,75,67
101996,2,0,1,44,63
102241,1,0,0,75,64
102241,2,0,0,44,64
102269,1,0,1,73,67
102269,2,0,1,49,63
102514,1,0,0,73,64
102514,2,0,0,49,64
102541,1,0,1,72,67
102541,2,0,1,41,56
102541,1,0,1,80,67
102787,2,0,0,41,64
102814,2,0,1,49,63
103059,1,0,0,72,64
103059,1,0,0,80,64
103060,2,0,0,49,64
103087,1,0,1,73,67
103087,2,0,1,53,63
103523,2,0,0,53,64
103578,1,0,0,73,64
103632,1,0,1,73,56
103632,1,0,1,70,56
103632,1,0,1,66,56
103632,2,0,1,42,63
103878,1,0,0,66,64
103878,1,0,0,73,64
103878,1,0,0,70,64
104151,2,0,0,42,64
104178,1,0,1,85,59
104178,2,0,1,49,63
104415,1,0,0,85,0
104416,1,0,1,85,59
104423,2,0,0,49,64
104423,1,0,0,85,64
104450,1,0,1,87,59
104451,2,0,1,56,63
104696,2,0,0,56,64
104696,1,0,0,87,64
104723,2,0,1,49,63
104723,1,0,1,85,59
104969,2,0,0,49,64
104969,1,0,0,85,64
104996,2,0,1,54,63
104996,1,0,1,94,59
104996,1,0,1,82,59
105241,2,0,0,54,64
105241,1,0,0,82,64
105241,1,0,0,94,64
105269,2,0,1,49,63
105269,1,0,1,92,59
105269,1,0,1,80,80
105514,2,0,0,49,64
105514,1,0,0,80,64
105514,1,0,0,92,64
105541,2,0,1,56,63
105787,2,0,0,56,64
105814,2,0,1,49,63
105814,1,0,1,73,67
105937,1,0,0,73,64
105950,1,0,1,75,67
106060,2,0,0,49,64
106073,1,0,0,75,64
106087,2,0,1,37,63
106087,1,0,1,77,67
106087,1,0,1,68,67
106332,2,0,0,37,64
106332,1,0,0,68,64
106332,1,0,0,77,64
106359,1,0,1,75,67
106360,2,0,1,44,63
106605,2,0,0,44,64
106605,1,0,0,75,64
106632,2,0,1,49,63
106632,1,0,1,73,67
106878,2,0,0,49,64
106878,1,0,0,73,64
106905,2,0,1,41,56
106905,1,0,1,80,67
106905,1,0,1,72,67
107151,2,0,0,41,64
107178,2,0,1,49,63
107423,2,0,0,49,64
107423,1,0,0,72,64
107423,1,0,0,80,64
107450,1,0,1,73,67
107451,2,0,1,53,63
107887,2,0,0,53,64
107941,1,0,0,73,64
107996,1,0,1,66,55
107996,1,0,1,73,55
107996,2,0,1,42,63
107996,1,0,1,70,55
108241,1,0,0,70,64
108241,1,0,0,66,64
108241,1,0,0,73,64
108514,2,0,0,42,64
108541,2,0,1,49,63
108541,1,0,1,85,59
